Name,Parish,Price,Bedrooms,Bathrooms,HasGarden,HasGarage,Status,Market,MarketType,PropertyType,Longitude,Latitude
"Mont Bleu","ST_PETER_PORT","5500000.00","8","7","true","true","AVAILABLE","Open","Buy","Terraced","-2.5362285","49.4609639"
"2, Byways","ST_PETER_PORT","450000.00","2","1",,,"AVAILABLE","Local","Buy","Terraced","-2.5386459","49.4650088"
"Le Vidcocq","ST_PETERS","1295000.00","5","2","true","true","AVAILABLE","Local","Buy","Cottage","-2.6310736","49.4325436"
"16","ST_PETER_PORT","825000.00","5","2","true",,"AVAILABLE","Local","Buy","House","-2.5523630","49.4504700"
"22","ST_PETER_PORT",,,,,,"AVAILABLE","Local","Buy","Office","-2.5369980","49.4569236"
"The Elms","ST_PETER_PORT","6500000.00","6","6","true",,"AVAILABLE","Open","Buy","House","-2.5395140","49.4600360"
"Richmond House","ST_PETER_PORT","2200000.00",,,"true",,"AVAILABLE","Local","Buy","Apartment","-2.5407003","49.4605336"
"34","VALE","372500.00","1","1","true",,"AVAILABLE","Local","Buy","House","-2.5231365","49.4873777"
"Hazeleigh","ST_PETERS","1750000.00","6","6",,,"AVAILABLE","Local","Buy","House","-2.6255123","49.4380116"
"La Colline House","ST_PETER_PORT","408000.00","2","1","true","true","AVAILABLE","Local","Buy","Apartment","-2.5359202","49.4598281"
"Roustel House","ST_PETER_PORT","635000.00","2","2",,,"AVAILABLE","Local","Buy","Apartment","-2.5348590","49.4594990"
"Fougere House","ST_PETER_PORT","635000.00","2","2",,,"AVAILABLE","Local","Buy","Apartment","-2.5335179","49.4605310"
"Roustel House","ST_PETER_PORT","499000.00","2","1",,,"AVAILABLE","Local","Buy","Apartment","-2.5347840","49.4595130"
"Chiswell House","ST_MARTINS","945000.00","6","2","true","true","AVAILABLE","Local","Buy","House","-2.5582948","49.4337378"
"Abbiamo Vinto","VALE","925000.00","2","1","true","true","AVAILABLE","Local","Buy","House","-2.5622820","49.4754689"
"17, Millmount","ST_PETER_PORT","308000.00","1","1",,,"AVAILABLE","Local","Buy","Apartment","-2.5430700","49.4497988"
"36","ST_PETER_PORT","1095000.00","1","1","true",,"AVAILABLE","Local","Buy","Apartment","-2.5540120","49.4504998"
"Dans Le Couogn","ST_SAVIOUR","560000.00",,,"true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.6040654","49.4380880"
"Mirabelle","ST_PETER_PORT","575000.00","3","1","true","true","AVAILABLE","Local","Buy","Semi-Detached","-2.5547132","49.4658817"
"Malvern House","ST_PETER_PORT","1350000.00","5","3","true","true","AVAILABLE","Open","Buy","House","-2.5400800","49.4584188"
"Mandra Lodge","ST_PETER_PORT","1060000.00","3","3",,"true","AVAILABLE","Local","Buy","House","-2.5400980","49.4411289"
"5, Rozel Terrace","ST_PETER_PORT","1275000.00","6","4","true",,"AVAILABLE","Open","Buy","House","-2.5436165","49.4524958"
"Stanthorpe","CASTEL","599000.00","3","1","true",,"AVAILABLE","Local","Buy","Bungalow","-2.5773440","49.4758840"
"Le Marchant House","ST_PETER_PORT","750000.00",,,"true",,"AVAILABLE","Local","Buy","Office","-2.5371060","49.4567252"
"Woodheys","VALE","720000.00","3","2","true",,"AVAILABLE","Local","Buy","Bungalow","-2.5209700","49.4955288"
"The Bungalow","SARK",,"4","1",,,"AVAILABLE","Open","Buy","Bungalow","-2.3603548","49.4422508"
"Amelaine","CASTEL","495000.00","2","1","true",,"AVAILABLE","Local","Buy","Bungalow","-2.5775383","49.4793549"
"White Walls","ST_PETER_PORT","875000.00","3","3","true","true","AVAILABLE","Open","Buy","Bungalow","-2.5589879","49.4581840"
"Crossways","ST_SAVIOUR","850000.00","4","1","true","true","AVAILABLE","Local","Buy","House","-2.6282782","49.4609557"
"Landour Cottage","ST_PETER_PORT","575000.00",,,"true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.5436494","49.4541693"
"7 & 8 The Grange","ST_PETER_PORT","1200000.00","6","3",,,"AVAILABLE","Local","Buy","Office","-2.5406300","49.4560850"
"Redlands","ST_MARTINS","795000.00","3","1","true",,"AVAILABLE","Local","Buy","Bungalow","-2.5606659","49.4337098"
"Capelles Villa","ST_SAMPSON","1195000.00","5","5","true","true","AVAILABLE","Open","Buy","House","-2.5531969","49.4812470"
"Chan-Dily","ST_SAVIOUR","1195000.00","2","2",,"true","AVAILABLE","Local","Buy","Bungalow","-2.6281300","49.4657728"
"Saffron House","ST_MARTINS","1750000.00","5","3","true","true","AVAILABLE","Open","Buy","House","-2.5449320","49.4360848"
"Les Mouettes","VALE","2050000.00","4","3","true",,"AVAILABLE","Local","Buy","House","-2.5735907","49.4901415"
"Claremont House","ST_ANDREW","735000.00","4","2","true","true","AVAILABLE","Local","Buy","House","-2.5654319","49.4516988"
"Bon Air","ST_MARTINS","1145000.00","5","4","true",,"AVAILABLE","Local","Buy","House","-2.5401964","49.4299940"
"Two New Houses","ST_PETER_PORT","775000.00","3","3","true",,"AVAILABLE","Local","Buy","Semi-Detached","-2.5514610","49.4553999"
